,time,usuario,device,colocation,acc_x,acc_y,acc_z,la_x,la_y,la_z,Activity
0,04-04-2022-21:15:32.922,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.1260512,-9.715671,0.79008657,1.2912223,-4.913722,-7.0478926,Down-stairs
1,04-04-2022-21:15:32.931,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.3511062,-9.68694,0.6607997,1.0449803,-4.935466,-7.217048,Down-stairs
2,04-04-2022-21:15:32.948,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.4181437,-9.624691,0.62249243,0.9594996,-4.9241567,-7.2937503,Down-stairs
3,04-04-2022-21:15:32.952,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.4516625,-9.629479,0.49799395,0.9103203,-4.9800825,-7.455029,Down-stairs
4,04-04-2022-21:15:32.966,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.4372973,-9.691729,0.45489833,0.9107678,-5.092502,-7.53309,Down-stairs
5,04-04-2022-21:15:32.976,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.456451,-9.591172,0.40222588,0.87785864,-5.0400434,-7.618995,Down-stairs
6,04-04-2022-21:15:32.983,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.3654714,-9.600749,0.24420857,0.9550514,-5.0946283,-7.8080826,Down-stairs
7,04-04-2022-21:15:32.992,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-2.1452048,-9.562442,0.16759412,1.1620462,-5.096446,-7.912466,Down-stairs
8,04-04-2022-21:15:33.001,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.958457,-9.576807,0.08619126,1.333698,-5.16447,-8.029435,Down-stairs
9,04-04-2022-21:15:33.011,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.7621324,-9.662998,0.07182605,1.5148966,-5.295192,-8.073955,Down-stairs
10,04-04-2022-21:15:33.025,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.6424223,-9.725247,0.12449849,1.6186343,-5.3921,-8.0461645,Down-stairs
11,04-04-2022-21:15:33.032,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.5562311,-9.840169,0.15801731,1.6874002,-5.5311685,-8.032329,Down-stairs
12,04-04-2022-21:15:33.042,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.5370775,-9.825804,0.29688102,1.6876377,-5.530086,-7.9078994,Down-stairs
13,04-04-2022-21:15:33.051,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.484405,-9.80665,0.4357447,1.7199166,-5.514126,-7.77869,Down-stairs
14,04-04-2022-21:15:33.062,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.4891934,-9.80665,0.45968673,1.6946349,-5.5091443,-7.7601113,Down-stairs
15,04-04-2022-21:15:33.073,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.364695,-9.739613,0.5746084,1.8000952,-5.431496,-7.6469865,Down-stairs
16,04-04-2022-21:15:33.082,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.3503298,-9.816227,0.7038953,1.7982596,-5.4944906,-7.516772,Down-stairs
17,04-04-2022-21:15:33.092,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.3742718,-9.883265,0.81402856,1.7616237,-5.545076,-7.4028234,Down-stairs
18,04-04-2022-21:15:33.103,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.4317327,-9.89763,0.93852705,1.6960609,-5.5411544,-7.271736,Down-stairs
19,04-04-2022-21:15:33.111,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.4077905,-9.830592,0.9864111,1.7171181,-5.455548,-7.2150726,Down-stairs
20,04-04-2022-21:15:33.122,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.3503298,-9.677363,1.0486604,1.776749,-5.2847834,-7.1426153,Down-stairs
21,04-04-2022-21:15:33.131,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.4173675,-9.581595,1.0869676,1.7165053,-5.1734405,-7.093339,Down-stairs
22,04-04-2022-21:15:33.141,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.5275006,-9.428367,1.0965444,1.6177425,-5.0068655,-7.0721865,Down-stairs
23,04-04-2022-21:15:33.151,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.6136919,-9.332599,1.1348516,1.5480419,-4.899792,-7.0213776,Down-stairs
24,04-04-2022-21:15:33.161,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.733402,-9.26556,1.2018893,1.4511356,-4.823606,-6.9404793,Down-stairs
25,04-04-2022-21:15:33.172,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.7621324,-9.299079,1.2689269,1.4514234,-4.8511496,-6.8587656,Down-stairs
26,04-04-2022-21:15:33.181,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.8243817,-9.3182335,1.3215994,1.422114,-4.8680134,-6.791734,Down-stairs
27,04-04-2022-21:15:33.192,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.8100165,-9.44752,1.3455414,1.4702765,-4.9987426,-6.7549796,Down-stairs
28,04-04-2022-21:15:33.201,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.8483237,-9.504981,1.412579,1.4629425,-5.0610366,-6.6779866,Down-stairs
29,04-04-2022-21:15:33.211,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.8483237,-9.56723,1.4317327,1.4888057,-5.1312966,-6.652601,Down-stairs
30,04-04-2022-21:15:33.222,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.8818425,-9.548077,1.340753,1.474233,-5.122406,-6.741362,Down-stairs
31,04-04-2022-21:15:33.231,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.8387469,-9.457097,1.3311762,1.5285414,-5.0433755,-6.752809,Down-stairs
32,04-04-2022-21:15:33.245,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.8148049,-9.481039,1.316811,1.555262,-5.0806046,-6.7732577,Down-stairs
33,04-04-2022-21:15:33.251,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.7908629,-9.509769,1.2641385,1.5738791,-5.12377,-6.8359795,Down-stairs
34,04-04-2022-21:15:33.261,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.7764976,-9.548077,1.1875241,1.5756295,-5.1779184,-6.9263744,Down-stairs
35,04-04-2022-21:15:33.271,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.7669208,-9.653421,1.1779473,1.5666707,-5.300628,-6.9529047,Down-stairs
36,04-04-2022-21:15:33.290,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.7525556,-9.768343,1.0199299,1.5584426,-5.4341383,-7.130061,Down-stairs
37,04-04-2022-21:15:33.301,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.6519991,-9.710882,0.8762778,1.6124009,-5.417544,-7.314041,Down-stairs
38,04-04-2022-21:15:33.313,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.6472107,-9.672575,0.79487497,1.5920976,-5.4006033,-7.4165506,Down-stairs
39,04-04-2022-21:15:33.323,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.5610195,-9.605537,0.7134721,1.6545924,-5.356047,-7.5189066,Down-stairs
40,04-04-2022-21:15:33.332,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.5131354,-9.5385,0.50757074,1.6801591,-5.313141,-7.745889,Down-stairs
41,04-04-2022-21:15:33.342,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.436521,-9.466674,0.45968673,1.7353084,-5.2669473,-7.815106,Down-stairs
42,04-04-2022-21:15:33.354,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.4030021,-9.528923,0.33518824,1.7469002,-5.3560476,-7.961535,Down-stairs
43,04-04-2022-21:15:33.363,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.460463,-9.730036,0.20590134,1.6661587,-5.5839896,-8.113049,Down-stairs
44,04-04-2022-21:15:33.372,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.508347,-9.892841,-0.08619126,1.5922701,-5.771819,-8.4272785,Down-stairs
45,04-04-2022-21:15:33.382,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.6041151,-10.065224,-0.22984336,1.4688088,-5.964635,-8.591225,Down-stairs
46,04-04-2022-21:15:33.392,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.5897499,-10.261548,-0.31124622,1.4596752,-6.174575,-8.687883,Down-stairs
47,04-04-2022-21:15:33.402,fwcheesecake,Motorola Moto G (5) Plus,Right pocket,-1.5562311,-10.31901,-0.33518824,1.4781219,-6.2399817,-8.721166,Down-stairs
